Tiempo,EMG_mV_raw,EMG_mV_filtrado
59.908,0.0031939110505450944,4.541392609684148e-06
59.909,-0.01596955525272547,4.543104225158276e-06
59.91,-0.02235737735381566,4.541132022306776e-06
59.911,-0.04152084365708622,4.538025833588957e-06
59.912,-0.05749039890981169,4.532966021239501e-06
59.913,-0.05110257680872151,4.524884159370872e-06
59.914,-0.038326932606541124,4.5148465902310555e-06
59.915,-0.038326932606541124,4.504579240204336e-06
59.916,-0.025551288404360755,4.493137355541121e-06
59.917,-0.006387822101090189,4.480687216927492e-06
59.918,0.006387822101090189,4.466928849085709e-06
59.919,0.006387822101090189,4.450461585933494e-06
59.92,0.009581733151635281,4.432588996847798e-06
59.921,0.01596955525272547,4.41317610747246e-06
59.922,0.02235737735381566,4.392996526841313e-06
59.923,0.028745199454905845,4.374682393561006e-06
59.924,0.02235737735381566,4.356641239369916e-06
59.925,-0.006387822101090189,4.337924676748662e-06
59.926,-0.009581733151635281,4.318725634080601e-06
59.927,-0.025551288404360755,4.298693299976285e-06
59.928,-0.04152084365708622,4.277823322690382e-06
59.929,-0.05429648785926659,4.256520309047553e-06
59.93,-0.06387822101090188,4.234368164352735e-06
59.931,-0.06707213206144698,4.210269793885825e-06
59.932,-0.04471475470763132,4.184943650166545e-06
59.933,-0.02235737735381566,4.158844142490773e-06
59.934,-0.006387822101090189,4.131909919814752e-06
59.935,-0.0031939110505450944,4.104316064290251e-06
59.936,0.0,4.076118436645054e-06
59.937,0.02235737735381566,4.047102875392589e-06
59.938,0.02235737735381566,4.0175582144892315e-06
59.939,0.025551288404360755,3.988136142983125e-06
59.94,0.04152084365708622,3.9584169029742156e-06
59.941,0.038326932606541124,3.928423944691795e-06
59.942,0.01596955525272547,3.898002152891391e-06
59.943,0.006387822101090189,3.866538979301102e-06
59.944,-0.019163466303270562,3.834515174456549e-06
59.945,-0.04471475470763132,3.8019120340425035e-06
59.946,-0.060684309960356786,3.7689300203317876e-06
59.947,-0.04471475470763132,3.7364746413584164e-06
59.948,-0.02235737735381566,3.7039942888939514e-06
59.949,-0.019163466303270562,3.6708378162670212e-06
59.95,-0.0031939110505450944,3.6372979597629046e-06
59.951,0.019163466303270562,3.6037934513005516e-06
59.952,0.012775644202180378,3.5697569195111685e-06
59.953,0.025551288404360755,3.5356626499043794e-06
59.954,0.02235737735381566,3.500804653292262e-06
59.955,0.02235737735381566,3.4631393889004554e-06
59.956,0.03193911050545094,3.4240863037983742e-06
59.957,0.03193911050545094,3.383983239177908e-06
59.958,0.0031939110505450944,3.3431559958905007e-06
59.959,-0.028745199454905845,3.3030186785018363e-06
59.96,-0.02235737735381566,3.2627025890125646e-06
59.961,-0.04152084365708622,3.2221567203296135e-06
59.962,-0.05429648785926659,3.181236482761205e-06
59.963,-0.060684309960356786,3.138637271610284e-06
59.964,-0.05749039890981169,3.095236671164393e-06
59.965,-0.04152084365708622,3.052393235470657e-06
59.966,-0.03193911050545094,3.009498929894546e-06
59.967,-0.0031939110505450944,2.9653691076740496e-06
59.968,0.009581733151635281,2.9214966873731378e-06
59.969,0.009581733151635281,2.877133826647385e-06
59.97,0.009581733151635281,2.8337393136152787e-06
59.971,0.02235737735381566,2.7958004289981333e-06
59.972,0.009581733151635281,2.7604496065409144e-06
59.973,0.01596955525272547,2.7262289692292505e-06
59.974,0.006387822101090189,2.6931858406649757e-06
59.975,-0.019163466303270562,2.660089493789318e-06
59.976,-0.038326932606541124,2.62735042687663e-06
59.977,-0.04471475470763132,2.5954779477961632e-06
59.978,-0.060684309960356786,2.5639764926448815e-06
59.979,-0.05429648785926659,2.532065604091164e-06
59.98,-0.035133021555996034,2.5001751985575986e-06
59.981,-0.05110257680872151,2.4682004513412852e-06
59.982,-0.07026604311199207,2.4363006214703937e-06
59.983,-0.038326932606541124,2.4051669190858818e-06
59.984,-0.025551288404360755,2.3741551971277005e-06
59.985,-0.006387822101090189,2.3433502802053305e-06
59.986,0.0,2.3123584746176374e-06
59.987,0.019163466303270562,2.279841488412463e-06
59.988,0.028745199454905845,2.2466192489163585e-06
59.989,0.038326932606541124,2.213175094660925e-06
59.99,0.028745199454905845,2.179421713144427e-06
59.991,0.012775644202180378,2.1455591197912477e-06
59.992,-0.02235737735381566,2.111582349611842e-06
59.993,-0.038326932606541124,2.0772901950873076e-06
59.994,-0.04152084365708622,2.0428962205028794e-06
59.995,-0.05110257680872151,2.008939838728765e-06
59.996,-0.06387822101090188,1.9750737292582526e-06
59.997,-0.05429648785926659,1.9411041309866027e-06
59.998,-0.05749039890981169,1.907048373639571e-06
59.999,-0.04152084365708622,1.8727787997204095e-06
60.0,-0.009581733151635281,1.838315681887659e-06
60.001,-0.0031939110505450944,1.8037636558652064e-06
60.002,0.009581733151635281,1.7690084790031102e-06
60.003,0.01596955525272547,1.7338333515241976e-06
60.004,0.019163466303270562,1.6983930127692512e-06
60.005,0.019163466303270562,1.6625956075483622e-06
60.006,0.038326932606541124,1.626566446427587e-06
60.007,0.02235737735381566,1.5906961027633733e-06
60.008,-0.019163466303270562,1.5546617266241339e-06
60.009,-0.04152084365708622,1.5185117230947976e-06
60.01,-0.028745199454905845,1.482080907228417e-06
60.011,-0.03193911050545094,1.4446691973581273e-06
60.012,-0.04152084365708622,1.4067117308740865e-06
